site,family,species,count
fonadhoo_inside,BUT,AUR,5
fonadhoo_inside,BUT,FAL,6
fonadhoo_inside,BUT,LUN,6
fonadhoo_inside,BUT,TFT,24
fonadhoo_inside,BUT,TRI,6
fonadhoo_inside,EMP,AUR,3
fonadhoo_inside,EMP,MONO,14
fonadhoo_inside,EMP,OBS,1
fonadhoo_inside,GRO,EPH,2
fonadhoo_inside,GRO,ARG,35
fonadhoo_inside,GRO,FUS,1
fonadhoo_inside,GRO,LEA,1
fonadhoo_inside,GRO,LEO,3
fonadhoo_inside,GRO,LEU,2
fonadhoo_inside,GRO,MIN,4
fonadhoo_inside,GRO,ROG,7
fonadhoo_inside,GRO,SON,2
fonadhoo_inside,PAR,3COLOUR,1
fonadhoo_inside,PAR,DUSKY,4
fonadhoo_inside,PAR,GFACE,1
fonadhoo_inside,PAR,LNOSE,5
fonadhoo_inside,PAR,SORDID,25
fonadhoo_inside,SNAP,FUR,3
fonadhoo_inside,SNAP,GIB,50
fonadhoo_inside,SNAP,IND,1
fonadhoo_inside,SNAP,MID,3
fonadhoo_inside,SNAP,MONOS,12
fonadhoo_inside,SNAP,RED,2
fonadhoo_inside,SL,ORI,1
fonadhoo_inside,TRIG,STR,11
fonadhoo_inside,TRIG,SUFC,1
fonadhoo_outside,BUT,AUR,3
fonadhoo_outside,BUT,CIT,2
fonadhoo_outside,BUT,GUT,13
fonadhoo_outside,BUT,MEY,1
fonadhoo_outside,BUT,TFT,5
fonadhoo_outside,BUT,TRI,1
fonadhoo_outside,BUT,XAN,2
fonadhoo_outside,EMP,AUR,31
fonadhoo_outside,EMP,MONO,10
fonadhoo_outside,GRO,EPH,1
fonadhoo_outside,GRO,ARG,18
fonadhoo_outside,GRO,COE ,1
fonadhoo_outside,GRO,LEA,1
fonadhoo_outside,GRO,LEU,1
fonadhoo_outside,GRO,LOU,1
fonadhoo_outside,GRO,ROGA,3
fonadhoo_outside,GRO,SON,1
fonadhoo_outside,PAR,BLTIP,2
fonadhoo_outside,PAR,ECLIPSE,2
fonadhoo_outside,PAR,LNOSE,1
fonadhoo_outside,PAR,SCABER,7
fonadhoo_outside,PAR,SORDID,30
fonadhoo_outside,SNAP,BLACK,5
fonadhoo_outside,SNAP,CHECK,2
fonadhoo_outside,SNAP,FUR,2
fonadhoo_outside,SNAP,GIB,64
fonadhoo_outside,SNAP,KAS,22
fonadhoo_outside,SNAP,MONO,8
fonadhoo_outside,SNAP,RED,8
fonadhoo_outside,SL,ORI,5
fonadhoo_outside,TRIG,IND,4
fonadhoo_outside,TRIG,STR,5
